Matrice des probabilites (heure x paquets) :
6 20 5 800
Heure	0	1	2	3	4
6	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
7	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
8	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
9	0.92307692307692312816	0.06593406593406593574	0.01098901098901098987	0.00000000000000000000	0.00000000000000000000
10	0.85714285714285709528	0.13186813186813187149	0.01098901098901098987	0.00000000000000000000	0.00000000000000000000
11	0.82417582417582413434	0.16483516483516483242	0.01098901098901098987	0.00000000000000000000	0.00000000000000000000
12	0.76923076923076927347	0.21978021978021977656	0.01098901098901098987	0.00000000000000000000	0.00000000000000000000
13	0.83516483516483519534	0.15384615384615385469	0.01098901098901098987	0.00000000000000000000	0.00000000000000000000
14	0.82417582417582413434	0.16483516483516483242	0.01098901098901098987	0.00000000000000000000	0.00000000000000000000
15	0.92307692307692312816	0.07692307692307692735	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
16	0.98901098901098905003	0.01098901098901098987	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
17	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
18	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
19	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
20	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
