Matrice des probabilites (heure x paquets) :
6 20 5 800
Heure	0	1	2	3	4
6	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
7	0.72527472527472525154	0.27472527472527474846	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
8	0.15384615384615385469	0.61538461538461541878	0.23076923076923078204	0.00000000000000000000	0.00000000000000000000
9	0.02197802197802197974	0.27472527472527474846	0.63736263736263731872	0.06593406593406593574	0.00000000000000000000
10	0.00000000000000000000	0.09890109890109889668	0.50549450549450547499	0.39560439560439558671	0.00000000000000000000
11	0.00000000000000000000	0.06593406593406593574	0.35164835164835167580	0.54945054945054949691	0.03296703296703296787
12	0.00000000000000000000	0.05494505494505494414	0.39560439560439558671	0.50549450549450547499	0.04395604395604395948
13	0.00000000000000000000	0.06593406593406593574	0.50549450549450547499	0.42857142857142854764	0.00000000000000000000
14	0.01098901098901098987	0.13186813186813187149	0.60439560439560435778	0.25274725274725273749	0.00000000000000000000
15	0.02197802197802197974	0.28571428571428569843	0.69230769230769229061	0.00000000000000000000	0.00000000000000000000
16	0.12087912087912087988	0.76923076923076927347	0.10989010989010988828	0.00000000000000000000	0.00000000000000000000
17	0.79120879120879117341	0.20879120879120879883	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
18	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
19	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
20	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
