Matrice des probabilites (heure x paquets) :
6 20 5 800
Heure	0	1	2	3	4
6	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
7	0.50000000000000000000	0.50000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
8	0.02173913043478260809	0.40217391304347827052	0.57608695652173913526	0.00000000000000000000	0.00000000000000000000
9	0.00000000000000000000	0.18478260869565216185	0.50000000000000000000	0.31521739130434783815	0.00000000000000000000
10	0.00000000000000000000	0.06521739130434782428	0.22826086956521737803	0.70652173913043481157	0.00000000000000000000
11	0.00000000000000000000	0.02173913043478260809	0.21739130434782608092	0.58695652173913048788	0.17391304347826086474
12	0.00000000000000000000	0.02173913043478260809	0.27173913043478259421	0.52173913043478259421	0.18478260869565216185
13	0.00000000000000000000	0.02173913043478260809	0.30434782608695654105	0.65217391304347827052	0.02173913043478260809
14	0.00000000000000000000	0.06521739130434782428	0.40217391304347827052	0.53260869565217394683	0.00000000000000000000
15	0.01086956521739130405	0.17391304347826086474	0.72826086956521740579	0.08695652173913043237	0.00000000000000000000
16	0.08695652173913043237	0.58695652173913048788	0.32608695652173913526	0.00000000000000000000	0.00000000000000000000
17	0.76086956521739135262	0.23913043478260870289	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
18	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
19	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
20	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
