Matrice des probabilites (heure x paquets) :
6 20 5 800
Heure	0	1	2	3	4
6	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
7	0.72527472527472525154	0.27472527472527474846	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
8	0.60439560439560435778	0.39560439560439558671	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
9	0.29670329670329670391	0.59340659340659340781	0.10989010989010988828	0.00000000000000000000	0.00000000000000000000
10	0.17582417582417583790	0.43956043956043955312	0.35164835164835167580	0.03296703296703296787	0.00000000000000000000
11	0.15384615384615385469	0.29670329670329670391	0.50549450549450547499	0.04395604395604395948	0.00000000000000000000
12	0.09890109890109889668	0.15384615384615385469	0.69230769230769229061	0.05494505494505494414	0.00000000000000000000
13	0.10989010989010988828	0.14285714285714284921	0.70329670329670335160	0.04395604395604395948	0.00000000000000000000
14	0.13186813186813187149	0.29670329670329670391	0.54945054945054949691	0.02197802197802197974	0.00000000000000000000
15	0.15384615384615385469	0.27472527472527474846	0.52747252747252748595	0.04395604395604395948	0.00000000000000000000
16	0.24175824175824175977	0.32967032967032966484	0.39560439560439558671	0.03296703296703296787	0.00000000000000000000
17	0.37362637362637363125	0.57142857142857139685	0.05494505494505494414	0.00000000000000000000	0.00000000000000000000
18	0.51648351648351653598	0.48351648351648351953	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
19	0.74725274725274726251	0.25274725274725273749	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
20	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
