Matrice des probabilites (heure x paquets) :
6 20 5 800
Heure	0	1	2	3	4
6	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
7	0.59340659340659340781	0.40659340659340659219	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
8	0.27472527472527474846	0.39560439560439558671	0.32967032967032966484	0.00000000000000000000	0.00000000000000000000
9	0.08791208791208791895	0.16483516483516483242	0.64835164835164837971	0.09890109890109889668	0.00000000000000000000
10	0.02197802197802197974	0.03296703296703296787	0.23076923076923078204	0.71428571428571430157	0.00000000000000000000
11	0.01098901098901098987	0.01098901098901098987	0.03296703296703296787	0.74725274725274726251	0.19780219780219779335
12	0.00000000000000000000	0.01098901098901098987	0.05494505494505494414	0.50549450549450547499	0.42857142857142854764
13	0.00000000000000000000	0.00000000000000000000	0.05494505494505494414	0.40659340659340659219	0.53846153846153843592
14	0.00000000000000000000	0.02197802197802197974	0.07692307692307692735	0.70329670329670335160	0.19780219780219779335
15	0.00000000000000000000	0.02197802197802197974	0.38461538461538463674	0.59340659340659340781	0.00000000000000000000
16	0.00000000000000000000	0.28571428571428569843	0.69230769230769229061	0.02197802197802197974	0.00000000000000000000
17	0.23076923076923078204	0.54945054945054949691	0.21978021978021977656	0.00000000000000000000	0.00000000000000000000
18	0.64835164835164837971	0.35164835164835167580	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
19	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
20	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
