Matrice des probabilites (heure x paquets) :
6 20 5 800
Heure	0	1	2	3	4
6	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
7	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
8	0.84782608695652172948	0.15217391304347827052	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
9	0.64130434782608691791	0.32608695652173913526	0.03260869565217391214	0.00000000000000000000	0.00000000000000000000
10	0.38043478260869567631	0.35869565217391302658	0.25000000000000000000	0.01086956521739130405	0.00000000000000000000
11	0.19565217391304348671	0.32608695652173913526	0.36956521739130432369	0.09782608695652174335	0.01086956521739130405
12	0.10869565217391304046	0.20652173913043478382	0.44565217391304345895	0.17391304347826086474	0.06521739130434782428
13	0.05434782608695652023	0.14130434782608694566	0.38043478260869567631	0.27173913043478259421	0.15217391304347827052
14	0.03260869565217391214	0.06521739130434782428	0.42391304347826086474	0.34782608695652172948	0.13043478260869564855
15	0.05434782608695652023	0.22826086956521737803	0.36956521739130432369	0.23913043478260870289	0.10869565217391304046
16	0.17391304347826086474	0.29347826086956524394	0.32608695652173913526	0.19565217391304348671	0.01086956521739130405
17	0.35869565217391302658	0.27173913043478259421	0.28260869565217389132	0.08695652173913043237	0.00000000000000000000
18	0.44565217391304345895	0.34782608695652172948	0.20652173913043478382	0.00000000000000000000	0.00000000000000000000
19	0.67391304347826086474	0.32608695652173913526	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
20	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
