Matrice des probabilites (heure x paquets) :
6 20 5 800
Heure	0	1	2	3	4
6	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
7	0.69565217391304345895	0.30434782608695654105	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
8	0.50000000000000000000	0.50000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
9	0.26086956521739129711	0.45652173913043475606	0.28260869565217389132	0.00000000000000000000	0.00000000000000000000
10	0.18478260869565216185	0.15217391304347827052	0.42391304347826086474	0.23913043478260870289	0.00000000000000000000
11	0.09782608695652174335	0.10869565217391304046	0.40217391304347827052	0.39130434782608697342	0.00000000000000000000
12	0.08695652173913043237	0.08695652173913043237	0.25000000000000000000	0.52173913043478259421	0.05434782608695652023
13	0.07608695652173913526	0.07608695652173913526	0.20652173913043478382	0.46739130434782610868	0.17391304347826086474
14	0.07608695652173913526	0.09782608695652174335	0.28260869565217389132	0.51086956521739135262	0.03260869565217391214
15	0.09782608695652174335	0.11956521739130435145	0.36956521739130432369	0.41304347826086956763	0.00000000000000000000
16	0.17391304347826086474	0.20652173913043478382	0.43478260869565216185	0.18478260869565216185	0.00000000000000000000
17	0.28260869565217389132	0.42391304347826086474	0.29347826086956524394	0.00000000000000000000	0.00000000000000000000
18	0.44565217391304345895	0.55434782608695654105	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
19	0.72826086956521740579	0.27173913043478259421	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
20	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
