Matrice des probabilites (heure x paquets) :
6 20 5 800
Heure	0	1	2	3	4
6	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
7	0.30434782608695654105	0.69565217391304345895	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
8	0.03260869565217391214	0.17391304347826086474	0.79347826086956518843	0.00000000000000000000	0.00000000000000000000
9	0.00000000000000000000	0.00000000000000000000	0.23913043478260870289	0.76086956521739135262	0.00000000000000000000
10	0.00000000000000000000	0.00000000000000000000	0.02173913043478260809	0.84782608695652172948	0.13043478260869564855
11	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.23913043478260870289	0.76086956521739135262
12	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.17391304347826086474	0.82608695652173913526
13	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.21739130434782608092	0.78260869565217394683
14	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.72826086956521740579	0.27173913043478259421
15	0.00000000000000000000	0.00000000000000000000	0.25000000000000000000	0.75000000000000000000	0.00000000000000000000
16	0.00000000000000000000	0.20652173913043478382	0.79347826086956518843	0.00000000000000000000	0.00000000000000000000
17	0.27173913043478259421	0.72826086956521740579	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
18	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
19	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
20	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
