Matrice des probabilites (heure x paquets) :
6 20 5 800
Heure	0	1	2	3	4
6	0.71428571428571430157	0.28571428571428569843	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
7	0.39560439560439558671	0.52747252747252748595	0.07692307692307692735	0.00000000000000000000	0.00000000000000000000
8	0.09890109890109889668	0.42857142857142854764	0.45054945054945055860	0.02197802197802197974	0.00000000000000000000
9	0.06593406593406593574	0.12087912087912087988	0.64835164835164837971	0.15384615384615385469	0.01098901098901098987
10	0.01098901098901098987	0.19780219780219779335	0.46153846153846156408	0.30769230769230770939	0.02197802197802197974
11	0.01098901098901098987	0.15384615384615385469	0.48351648351648351953	0.31868131868131865936	0.03296703296703296787
12	0.02197802197802197974	0.14285714285714284921	0.48351648351648351953	0.34065934065934067032	0.01098901098901098987
13	0.05494505494505494414	0.26373626373626374297	0.42857142857142854764	0.25274725274725273749	0.00000000000000000000
14	0.09890109890109889668	0.40659340659340659219	0.40659340659340659219	0.08791208791208791895	0.00000000000000000000
15	0.19780219780219779335	0.64835164835164837971	0.15384615384615385469	0.00000000000000000000	0.00000000000000000000
16	0.58241758241758245784	0.41758241758241759767	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
17	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
18	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
19	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
20	1.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
